timestamp,type,says,basketValueGross,overallBasketSavings,basketValueNet,numberOfItems,payment_type,payment_category,payment_amount,customerId,requestId
2024-10-01 18:31:56.894,IN_STORE,NA,16.62,,16.62,15,AMERICAN EXPRESS,AMERICAN EXPRESS,16.62,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-02-04 15:22:27.739,IN_STORE,NA,3.6,0.3,3.6,3,Amex,Amex,3.6,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-06-03 12:38:02.626,IN_STORE,NA,3.95,0.95,3.0,3,MastercardDebit,MastercardDebit,3.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-10-11 20:47:14.234,IN_STORE,NA,2.25,,2.25,3,Amex,Amex,2.25,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-10-19 17:41:17.815,IN_STORE,NA,22.5,,19.79,16,MastercardDebit,MastercardDebit,19.79,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-09-24 09:21:30.680,IN_STORE,NA,10.7,,10.7,6,AMERICAN EXPRESS,AMERICAN EXPRESS,10.7,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-06-26 17:43:22.033,IN_STORE,NA,9.24,,9.24,7,Amex,Amex,9.24,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-01-14 17:23:54.794,IN_STORE,NA,20.22,,20.22,23,Amex,Amex,20.22,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-07-06 13:01:22.842,IN_STORE,NA,3.75,,3.75,4,MastercardDebit,MastercardDebit,3.75,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-09-06 18:37:46.066,IN_STORE,NA,50.49,4.35,50.49,21,MasterCard,MasterCard,50.49,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-09-18 18:46:24.215,IN_STORE,NA,18.2,,18.2,5,MastercardDebit,MastercardDebit,18.2,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-08-04 20:37:15.781,IN_STORE,NA,10.4,,9.91,5,MastercardDebit,MastercardDebit,9.91,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-01-30 15:32:54.208,IN_STORE,NA,36.85,1.31,35.22,40,MastercardDebit,MastercardDebit,35.22,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-03-08 13:01:31.807,IN_STORE,NA,3.4,2.85,3.4,3,VisaDebit,VisaDebit,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-03-02 16:21:00.159,IN_STORE,NA,26.85,2.95,22.17,30,MastercardDebit,MastercardDebit,22.17,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-08-14 18:14:12.483,IN_STORE,NA,15.75,2.5,13.25,4,MastercardDebit,MastercardDebit,13.25,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-05-23 09:33:23.344,IN_STORE,NA,27.56,,27.56,8,MastercardDebit,MastercardDebit,27.56,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-10-05 22:17:19.200,IN_STORE,NA,3.21,1.89,3.21,3,AMERICAN EXPRESS,AMERICAN EXPRESS,3.21,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-04 12:24:39.523,IN_STORE,NA,3.4,1.8,3.4,3,AMERICAN EXPRESS,AMERICAN EXPRESS,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-12-21 23:43:29.741,IN_STORE,NA,0.78,,0.78,2,AMERICAN EXPRESS,AMERICAN EXPRESS,0.78,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-09-17 12:55:37.013,IN_STORE,NA,17.18,2.4,17.18,12,AMERICAN EXPRESS,AMERICAN EXPRESS,17.18,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-09-18 13:57:09.574,IN_STORE,NA,14.02,1.85,12.17,7,MastercardDebit,MastercardDebit,12.17,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-18 12:30:57.847,IN_STORE,NA,3.4,2.6,3.4,3,AMERICAN EXPRESS,AMERICAN EXPRESS,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-04-30 13:44:25.843,IN_STORE,NA,3.53,,3.53,4,Amex,Amex,3.53,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2025-02-23 14:33:11.908,IN_STORE,NA,56.05,,56.05,1,Amex,Amex,56.05,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
